appID,name,release_date,price,supported_languages,developers,publishers,categories,genres,tags,metacriticScore
1025440,Fantasy General II,"Sep 5, 2019",13.99,"['English', 'German', 'Spanish - Spain', 'Simplified Chinese', 'French', 'Russian']",Owned by Gravity,Slitherine Ltd.,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing",Strategy,"Strategy, Turn-Based Strategy, Fantasy, Turn-Based, Turn-Based Tactics, Turn-Based Combat, Tactical, Singleplayer, Wargame, Hex Grid, Grand Strategy, Dark Fantasy, 4X, Multiplayer, War, Military, Replay Value, Resource Management, Great Soundtrack, Management",80
416790,The Metronomicon: Slay The Dance Floor,"Sep 29, 2016",4.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Japanese']",Puuba,Akupara Games,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing","Action, Indie, RPG","Rhythm, Music, Indie, Soundtrack, Singleplayer, RPG, Action, Party-Based RPG, Fast-Paced, Fantasy, Experimental, Comedy, Funny, 2D, Co-op, Local Multiplayer, Side Scroller, Colorful, Multiplayer, Adventure",79
672230,I fell from Grace,"Dec 20, 2017",0.79,['English'],Deep Taiga,Deep Taiga,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Adventure, Indie","Adventure, Indie, Gore, Violent, Choices Matter, Pixel Graphics, Point & Click, Singleplayer",62
1110050,Evan's Remains,"Jun 11, 2020",1.39,"['English', 'French', 'Italian', 'German', 'Japanese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Russian', 'Simplified Chinese']",maitan69,Whitethorn Games,"Single-player, Steam Achievements, Full controller support, Camera Comfort, Playable without Timed Input, Family Sharing","Adventure, Casual, Indie","Casual, Puzzle-Platformer, Visual Novel, Female Protagonist, Platformer, 2D, Pixel Graphics, Story Rich, Cute, Puzzle, Colorful, Anime, Mystery, Thriller, Logic, Atmospheric, Adventure, Singleplayer, Indie, Great Soundtrack",75
715560,Eastshade,"Feb 13, 2019",9.99,"['English', 'French', 'German', 'Russian', 'Simplified Chinese']",Eastshade Studios,Eastshade Studios,"Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing","Adventure, Indie","Exploration, Relaxing, Open World, Beautiful, Atmospheric, Adventure, Walking Simulator, Singleplayer, First-Person, Nature, Indie, Colorful, Casual, RPG, Interactive Fiction, Story Rich, Fantasy, Great Soundtrack, Crafting, Survival",78
849178,Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",4.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']","Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure","Adventure, Lara Croft, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Puzzle, Open World, Action-Adventure, Stealth, Exploration, Survival, Violent, Atmospheric, Shooter, Gore, Great Soundtrack, Dark, Heist",77
914710,Cat Quest II,"Sep 24, 2019",3.74,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Dutch', 'Korean', 'Thai', 'Traditional Chinese', 'Turkish', 'Spanish - Latin America']",The Gentlebros,Kepler Interactive,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Indie, RPG","Adventure, Exploration, Action RPG, Hack and Slash, RPG, Character Customization, Local Co-Op, Action, Cute, Cats, Co-op, 2D, Open World, Funny, Cartoony, Dog, Loot, Fantasy, Magic, Cozy",76
259190,Alone in the Dark: The New Nightmare,"Oct 29, 2013",1.74,['English'],"Darkworks, Spiral House",THQ Nordic,"Single-player, Family Sharing","Action, Adventure","Adventure, Horror, Action, Survival Horror, Classic, Puzzle, Female Protagonist, Lovecraftian",66
31800,Nancy Drew®: Danger by Design,"Oct 10, 2009",6.49,['English'],HeR Interactive,HeR Interactive,"Single-player, Family Sharing",Adventure,"Adventure, Point & Click, Puzzle, Detective, Story Rich, Classic, Great Soundtrack, Female Protagonist, Mouse only, Funny, Exploration, Atmospheric, Casual, Hidden Object, 2.5D, Family Friendly, 2D, Remake, Mystery, Based On A Novel",70
1272080,PAYDAY 3,"Sep 21, 2023",14.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",Starbreeze Studios,Starbreeze Entertainment,"Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Surround Sound, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure, RPG","Heist, Co-op, Crime, Action, Multiplayer, FPS, Shooter, Stealth, Tactical, America, Online Co-Op, Dark Humor, First-Person, PvE, Gun Customization, RPG, Combat, 3D, Realistic, Shoot 'Em Up",66
260730,Desperados: Wanted Dead or Alive,"Nov 20, 2013",1.24,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",Spellbound,THQ Nordic,"Single-player, Family Sharing","Action, Strategy","Strategy, Western, Tactical, Isometric, Action, Stealth, Real Time Tactics, Singleplayer, Classic, Atmospheric, Real-Time, RTS, Difficult",78
423810,Marooners,"Sep 15, 2016",1.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Arabic', 'Japanese', 'Korean', 'Thai', 'Turkish']",M2H,M2H,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","Action, Casual, Indie","Party, 4 Player Local, Local Multiplayer, Minigames, Local Co-Op, Multiplayer, Party Game, Casual, Family Friendly, Controller, Funny, Cute, Colorful, Action, Stylized, Loot, PvP, 3D, 3D Vision, Anime",70
2742010,Off-Road: Redneck Racing,"Feb 12, 2024",7.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']","Rage Software, Jordan Freeman Group","Funbox Media Ltd, ZOOM Platform Media","Single-player, Multi-player, PvP, LAN PvP, Steam Cloud, Family Sharing","Action, Racing","Racing, Cartoon, Arcade, Driving, First-Person, 3D, Funny, PvP, PvE, Controller, Vehicular Combat, Third Person, Split Screen, Capitalism, Military, Offroad, Comedy, Physics, Destruction, Anime",65
242700,Injustice: Gods Among Us Ultimate Edition,"Nov 12, 2013",2.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese']","NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",Action,"Fighting, Superhero, Action, Multiplayer, Comic Book, Local Multiplayer, Singleplayer, Controller, 2D Fighter, Arcade, Beat 'em up, Competitive, 2.5D, Story Rich, Atmospheric, 2D, 3D Vision, Great Soundtrack, Gore, Co-op",79
1147860,UFO 50,"Sep 18, 2024",18.74,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",Mossmouth,Mossmouth,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","Action, Adventure, Indie, RPG, Strategy","Indie, Pixel Graphics, Action, Retro, Strategy, RPG, 2D, Adventure, Arcade, Difficult, Casual, 1980s, Local Multiplayer, Minigames, Rogue-like, 2D Platformer, Puzzle, Platformer, Great Soundtrack, Sports",91
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,"Sep 16, 2009",4.99,"['English', 'French', 'German', 'Spanish - Spain', 'Traditional Chinese']",Raven Software,"LucasArts, Lucasfilm, Disney","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",Action,"Action, Classic, Sci-fi, FPS, Multiplayer, Third Person, Singleplayer, Shooter, Story Rich, Adventure, Third-Person Shooter, First-Person, Cult Classic, Great Soundtrack, Swordplay, Space, Atmospheric, Moddable, Hack and Slash, Local Multiplayer",89
45770,Dead Rising 2: Off the Record,"Oct 11, 2011",4.99,"['English', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean']",Capcom Vancouver,Capcom,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure","Action, Zombies, Open World, Adventure, Online Co-Op, Co-op, Third Person, Comedy, Funny, Gore, Sandbox, Horror, Singleplayer, Sexual Content, Multiplayer, Great Soundtrack, Survival Horror, Survival, Atmospheric, Violent",66
316030,Disney Alice in Wonderland,"Oct 6, 2014",6.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Russian']",Etranges Libellules Studios,Disney,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Action, Adventure","Action, Adventure, Family Friendly, Female Protagonist, Story Rich",63
286040,Dead Effect,"Dec 17, 2014",0.99,"['English', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Russian']","BadFly Interactive, a.s.","BadFly Interactive, a.s.","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Action, Indie","Zombies, FPS, Action, Horror, Shooter, Singleplayer, Indie, Multiplayer, Survival, Sci-fi, Gore, First-Person, Space, Survival Horror, Atmospheric, Bullet Time, Co-op, Short",59
7860,NecroVision,"May 20, 2009",0.74,"['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Russian', 'Hungarian', 'Czech', 'Polish']",The Farm 51,Fulqrum Publishing,"Single-player, Multi-player, Steam Cloud, Family Sharing",Action,"Action, FPS, World War I, Gore, Zombies, Horror, Violent, Shooter, Alternate History, First-Person, Multiplayer, Vampire, Singleplayer, Fantasy, Historical, World War II, Dark Fantasy, Arcade, Sci-fi, Atmospheric",63
345180,Victor Vran ARPG,"Jul 24, 2015",19.99,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Bulgarian', 'Hungarian', 'Japanese', 'Czech', 'Turkish', 'Simplified Chinese']",Haemimont Games,"Haemimont Games, EuroVideo Medien","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Indie, RPG","Action RPG, Hack and Slash, RPG, Adventure, Co-op, Isometric, Action, Loot, Multiplayer, Dungeon Crawler, Indie, Local Co-Op, Controller, Fantasy, Singleplayer, Online Co-Op, Dark Fantasy, Top-Down, Difficult, Steampunk",75
1476100,A Rogue Escape,"Jun 10, 2021",3.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",Spare Parts Oasis,Armor Games Studios,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",Simulation,"VR, Exploration, Singleplayer, Simulation, First-Person, Steampunk, Atmospheric, Adventure, Puzzle, Cinematic, Immersive, Logic, Sci-fi",73
200010,Quantum Conundrum,"Jun 21, 2012",0.98,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Japanese']",Airtight Games,Square Enix,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","Casual, Strategy","Puzzle-Platformer, Puzzle, 3D Platformer, First-Person, Physics, Comedy, Casual, Platformer, Strategy, Singleplayer, Time Manipulation, Science, Cartoony, Family Friendly, Adventure, Sci-fi, Funny, Difficult, Controller",77
717640,Reigns: Her Majesty,"Dec 6, 2017",0.98,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","Nerial, Synaptic Insight Technology Systems",Devolver Digital,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Casual, Indie, Simulation","Indie, Life Sim, Female Protagonist, Choices Matter, Casual, Card Game, Simulation, Strategy, Medieval, Choose Your Own Adventure, Dark Humor, Funny, Dark Comedy, Comedy, Adventure, Singleplayer",81
690640,Trine 4: The Nightmare Prince,"Oct 8, 2019",5.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Czech', 'Korean', 'Turkish']",Frozenbyte,Frozenbyte,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Indie","Puzzle-Platformer, Local Co-Op, Online Co-Op, Action-Adventure, Co-op, Beautiful, Fantasy, 2.5D, Multiplayer, Adventure, Puzzle, Platformer, Action, Atmospheric, Local Multiplayer, Great Soundtrack, Stylized, Indie, Singleplayer, RPG",81
46790,Armada 2526,"Apr 8, 2011",2.24,['English'],Ntronium Games,Iceberg Interactive,"Single-player, Multi-player, Shared/Split Screen, Remote Play Together, Family Sharing",Strategy,"Strategy, Sci-fi, Space, 4X, Turn-Based",66
