appID,name,release_date,price,supported_languages,developers,publishers,categories,genres,tags,metacriticScore
63950,IL-2 Sturmovik: Cliffs of Dover,"Jul 19, 2011",0.0,"['English', 'French', 'German', 'Italian', 'Polish', 'Spanish - Spain', 'Russian', 'Czech']",1C: Maddox Games,Fulqrum Publishing,"Single-player, Multi-player, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Family Sharing",Simulation,"Simulation, Flight, World War II, Historical",60
480430,Hide and Shriek,"Oct 19, 2017",0.0,"['English', 'French', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Spain']",Funcom,Funcom,"Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Stats","Action, Free To Play","Multiplayer, Horror, Free to Play, First-Person, Action, Competitive, Funny, Atmospheric, Psychological Horror, Co-op, Thriller, Mystery, Psychological, Strategy, Memes, Illuminati, VR, Singleplayer, Indie, Adventure",68
420,Half-Life 2: Episode Two,"Oct 10, 2007",0.0,"['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese']",Valve,Valve,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Stats, Includes Source SDK, Commentary available, Family Sharing",Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Story Rich, First-Person, Classic, Adventure, Aliens, Atmospheric, Zombies, Silent Protagonist, Great Soundtrack, Dystopian , Post-apocalyptic, Episodic, Puzzle, Horror, Multiplayer",90
1097150,Fall Guys,"Aug 3, 2020",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",Mediatonic,,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet","Action, Casual, Indie, Massively Multiplayer, Sports","Multiplayer, Party Game, Battle Royale, Family Friendly, Massively Multiplayer, Platformer, Cute, Funny, PvP, 3D Platformer, Controller, Casual, Colorful, Action, Online Co-Op, Co-op, Comedy, Physics, Indie, Difficult",80
570,Dota 2,"Jul 9, 2013",0.0,"['Bulgarian', 'Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Greek', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']",Valve,Valve,"Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Valve Anti-Cheat enabled, Steam Timeline","Action, Strategy, Free To Play","Free to Play, MOBA, Multiplayer, Strategy, e-sports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",90
298260,Only If,"Jul 25, 2014",0.0,['English'],Creability,Creability,"Single-player, Steam Achievements","Adventure, Indie, Free To Play","Free to Play, Adventure, First-Person, Horror, Puzzle, Indie, Singleplayer, Walking Simulator, Survival, Multiplayer, Surreal, Atmospheric, Comedy, Open World, Action, Simulation, FPS, Casual, Funny, Co-op",39
915100,System Shock® 2 (1999),"May 10, 2013",0.0,"['English', 'German']","Nightdive Studios, Irrational Games, Looking Glass Studios",Nightdive Studios,"Single-player, Multi-player, Co-op, Steam Trading Cards, Family Sharing","Action, RPG","Cyberpunk, RPG, Horror, Sci-fi, Classic, FPS, Survival Horror, Masterpiece, Action, Cult Classic, Space, First-Person, Story Rich, Atmospheric, Immersive Sim, Great Soundtrack, Singleplayer, Co-op, Inventory Management, Shooter",92
583950,Artifact,"Nov 28, 2018",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",Valve,Valve,"Single-player, Multi-player, PvP, Online PvP, Steam Cloud",Strategy,"Card Battler, Deckbuilding, Card Game, Trading Card Game, Strategy, Multiplayer, e-sports, Tactical, Competitive, Turn-Based Strategy, Difficult, Fantasy, Singleplayer, Casual, Turn-Based, Atmospheric, Great Soundtrack, Magic, Funny, Violent",76
552990,World of Warships,"Nov 15, 2017",0.0,"['English', 'French', 'German', 'Czech', 'Japanese', 'Polish', 'Russian', 'Thai', 'Turkish', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Traditional Chinese', 'Italian', 'Simplified Chinese', 'Ukrainian', 'Dutch', 'Spanish - Latin America']",Wargaming Group Limited,Wargaming Group Limited,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Steam Cloud","Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Free to Play, Naval Combat, Action, Co-op, Tactical, Online Co-Op, Multiplayer, Naval, PvP, World War II, War, Military, Team-Based, Massively Multiplayer, PvE, Simulation, Historical, Shooter, Realistic, Third-Person Shooter",81
845070,The Awesome Adventures of Captain Spirit,"Jun 25, 2018",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Japanese']",DONTNOD Entertainment,Square Enix,"Single-player, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Free To Play","Free to Play, Story Rich, Adventure, Choices Matter, Atmospheric, Singleplayer, Great Soundtrack, Drama, Superhero, Short, Point & Click, Walking Simulator, Third Person, Controller, Casual, Emotional, Action, Cute, Indie, Memes",79
241720,Guncraft,"Aug 9, 2013",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']",Exato Games Studio,Reverb Triple XP,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor","Action, Indie, Free To Play","Action, Indie, FPS, Building, Voxel, Multiplayer, Sandbox, Shooter, Co-op, Survival",73
